ID,Location-batiment,ROOM,Ground/Floor,Asset type,"Hostname/
Label",Name/Profile of current user,Brand/Model/Qty/HostSRV,Specs1,Specs2,Serial Number,Status,Vendor,Purchase date,"Purchase
price (TTC)",P.O. #,Last user,Notes
G,Cycle des Moyens,EB7 E,,AP,CycleDesMoyens-G0-5emeE,,AIR-AP1815I-E-K9,192.168.20.125,bc:26:c7:c3:48:78,,In use,,,,,,
G,Cycle des Moyens,EB7 F,,AP,CycleDesMoyens-G0-5emeF,,AIR-AP1815I-E-K9,192.168.20.98,00:ea:bd:64:f5:e8,,In use,,,,,,
G,Cycle des Grands,EB8 B,,AP,CycleDesGrands G-1 4eme-B,,AIR-AP1815I-E-K9,192.168.20.88,bc:26:c7:44:24:80,,In use,,,,,,
G,Cycle des Grands,EB8 C,,AP,CycleDesGrands_G-1 4eme-C,,AIR-AP1815I-E-K9,192.168.20.104,bc:26:c7:33:11:c8,,In use,,,,,,
G,Cycle des Grands,EB8 D,,AP,CycleDesGrands-G-1 4eme-D,,AIR-AP1815I-E-K9,192.168.20.108,00:ea:bd:64:f5:c0,,In use,,,,,,
G,Cycle des Grands,EB8 F,,AP,CycleDesGrands-G-1-4eme-F,,AIR-AP1815I-E-K9,192.168.20.101,bc:26:c7:44:24:90,,In use,,,,,,
G,Cycle des Grands,EB9 A,,AP,CycleDesGrands-G0-EB9-A,,AIR-AP1815I-E-K9,192.168.20.126,bc:26:c7:44:39:20,,In use,,,,,,
G,Cycle des Grands,EB9 B,,AP,CycleDesGrands-G0-EB9-B,,AIR-AP1815I-E-K9,192.168.20.23,bc:26:c7:44:24:60,,In use,,,,,,
G,Cycle des Grands,EB9 C,,AP,CycleDesGrands-G0-EB9-C,,AIR-AP1815I-E-K9,192.168.20.82,bc:26:c7:c6:28:28,,In use,,,,,,
G,Cycle des Grands,EB9 D,,AP,CycleDesGrands-G0-EB9-D,,AIR-AP1815I-E-K9,192.168.20.117,bc:26:c7:44:11:f8,,In use,,,,,,
G,Cycle des Grands,EB9 F,,AP,CycleDesGrandsG0-EB9-F,,AIR-AP1815I-E-K9,192.168.20.113,bc:26:c7:44:11:f8,,In use,,,,,,
G,Cycle des Terminales,edm,,AP,CycleDesTerminal-G0-EDM,,AIR-AP1815I-E-K9,192.168.20.105,bc:26:c7:c6:35:18,,In use,,,,,,
G,Cycle des Terminales,es,,AP,CycleDesTerminal-G0-ES,,AIR-AP1815I-E-K9,192.168.20.95,bc:26:c7:c3:48:b8,,In use,,,,,,
G,Bloc des Frères,floor 1,,AP,BlocDesFreres-FloorLeft,,AIR-AP1815I-E-K9,192.168.20.96,bc:26:c7:c6:2d,,In use,,,,,,
G,Bloc des Frères,floor 3,,AP,BlocDesFreres-Floor3Left,,AIR-AP1815I-E-K9,192.168.20.45,bc:26:c7:c3:3c:48,,In use,,,,,,
G,Bloc des Frères,floor 3,,AP,BlocDesFreres-Floor3Right,,AIR-AP1815I-E-K9,192.168.20.22,bc:26:c7:ac:31:90,,In use,,,,,,
G,Bloc des Frères,floor 4,,AP,BlocDesFreres-Floor4Left,,AIR-AP1815I-E-K9,192.168.20.77,bc:26:c7:6c:34,,In use,,,,,,
G,Bloc des Frères,floor 4,,AP,BlocDesFreres-Floor4Right,,AIR-AP1815I-E-K9,192.168.20.110,bc:26:c7:19:84:18,,In use,,,,,,
G,Bloc des Frères,floor2,,AP,BlocDesFreres-Floor2,,AIR-AP1815I-E-K9,192.168.20.67,80:8b:cf:e4:57:78,,In use,,,,,,
